RI-HEAP release dynamic-usage=412324032
RI-BOOK books/store-reclaim-holders.lisp fns=6 thms=2 reached=6
RI-BOOK books/store-capacity-vector.lisp fns=15 thms=21 reached=9
RI-BOOK books/store-maintenance-reserve.lisp fns=7 thms=9 reached=2
RI-BOOK books/store-budget-article.lisp fns=4 thms=7 reached=3
RI-BOOK books/store-profile-upgrade.lisp fns=14 thms=13 reached=13
RI-BOOK books/account-list.lisp fns=7 thms=1 reached=7
RI-BOOK books/native-control.lisp fns=34 thms=13 reached=33
RI-BOOK books/native-operator.lisp fns=122 thms=20 reached=117
RI-BOOK books/control-evidence-grammar.lisp fns=4 thms=1 reached=4
RI-BOOK books/outcome-class.lisp fns=6 thms=8 reached=4
RI-BOOK books/native-auth-admin.lisp fns=52 thms=7 reached=47
RI-BOOK books/anchor-replace.lisp fns=10 thms=4 reached=7
RI-BOOK books/native-auth-profile.lisp fns=23 thms=5 reached=23
RI-BOOK books/native-admin.lisp fns=31 thms=11 reached=28
RI-BOOK books/bp-route.lisp fns=32 thms=8 reached=31
RI-BOOK books/native-admin-peer-budget.lisp fns=11 thms=9 reached=6
RI-BOOK books/native-admin-peer.lisp fns=50 thms=9 reached=38
RI-BOOK books/peer-carriage-rows.lisp fns=13 thms=8 reached=9
RI-BOOK books/bp-eid-shape.lisp fns=14 thms=2 reached=12
RI-BOOK books/journal-publish.lisp fns=12 thms=5 reached=11
RI-BOOK books/native-config-show.lisp fns=34 thms=10 reached=29
RI-BOOK books/feed-filename.lisp fns=21 thms=2 reached=20
RI-BOOK books/owner-intent-carried.lisp fns=8 thms=9 reached=7
RI-BOOK books/store-reclaim-buffer.lisp fns=4 thms=3 reached=4
RI-BOOK books/sha256-buffer.lisp fns=9 thms=5 reached=9
RI-BOOK books/poster-bytes-buffer.lisp fns=20 thms=25 reached=18
RI-BOOK books/store-reclaim.lisp fns=39 thms=13 reached=21
RI-BOOK books/poster-bytes.lisp fns=9 thms=0 reached=9
RI-BOOK books/reclaim-rule.lisp fns=7 thms=4 reached=6
RI-BOOK books/owner-checkpoint-stream.lisp fns=19 thms=11 reached=6
RI-BOOK books/store-checkpoint-reader.lisp fns=15 thms=23 reached=14
RI-BOOK books/store-checkpoint-buffer.lisp fns=11 thms=14 reached=10
RI-BOOK books/octets-stobj.lisp fns=54 thms=64 reached=26
RI-BOOK books/owner-checkpoint-open.lisp fns=7 thms=12 reached=5
RI-BOOK books/store-checkpoint-codec.lisp fns=44 thms=27 reached=31
RI-BOOK books/store-checkpoint-open.lisp fns=34 thms=20 reached=29
RI-BOOK books/owner-recover-ocl.lisp fns=0 thms=13 reached=0
RI-BOOK books/owner-offer-indexed.lisp fns=0 thms=53 reached=0
RI-BOOK books/config-owner-publish.lisp fns=3 thms=10 reached=2
RI-BOOK books/owner-agent.lisp fns=6 thms=25 reached=5
RI-BOOK books/injection-invariants.lisp fns=4 thms=37 reached=0
RI-BOOK books/owner-prepare-carried.lisp fns=7 thms=8 reached=7
RI-BOOK books/owner-store-budget.lisp fns=3 thms=3 reached=2
RI-BOOK books/owner-config-observe.lisp fns=1 thms=1 reached=1
RI-BOOK books/records-concrete-owner.lisp fns=2 thms=1 reached=2
RI-BOOK books/consumer-poll-projection.lisp fns=3 thms=2 reached=3
RI-BOOK books/owner-open-carried.lisp fns=7 thms=10 reached=7
RI-BOOK books/owner-advance-carried.lisp fns=7 thms=21 reached=5
RI-BOOK books/owner-commit-ocl.lisp fns=0 thms=13 reached=0
RI-BOOK books/owner-commit-carried.lisp fns=16 thms=25 reached=16
RI-BOOK books/store-events-carried.lisp fns=13 thms=10 reached=12
RI-BOOK books/records-concrete.lisp fns=13 thms=13 reached=12
RI-BOOK books/store-budget-naming.lisp fns=11 thms=12 reached=7
RI-BOOK books/store-budget.lisp fns=18 thms=15 reached=14
RI-BOOK books/consumer-event-index-store-invariants.lisp fns=2 thms=28 reached=0
RI-BOOK books/owner-served-invariants.lisp fns=5 thms=14 reached=3
RI-BOOK books/owner-prepare-correspondence.lisp fns=3 thms=10 reached=0
RI-BOOK books/store-prepare-correspondence.lisp fns=4 thms=9 reached=1
RI-BOOK books/store-sweep.lisp fns=15 thms=13 reached=9
RI-BOOK books/owner-served-carried.lisp fns=5 thms=12 reached=4
RI-BOOK books/config-owner-live.lisp fns=11 thms=106 reached=3
RI-BOOK books/config-store-traces.lisp fns=7 thms=2 reached=0
RI-BOOK books/config-observed.lisp fns=4 thms=5 reached=4
RI-BOOK books/config-physical-replay.lisp fns=5 thms=10 reached=5
RI-BOOK books/owner-tls-prefix.lisp fns=7 thms=3 reached=5
RI-BOOK books/served-carried.lisp fns=12 thms=17 reached=12
RI-BOOK books/peer-guard-carried.lisp fns=8 thms=6 reached=8
RI-BOOK books/peer-offer-indexed.lisp fns=10 thms=11 reached=7
RI-BOOK books/served-tls-prefix.lisp fns=7 thms=11 reached=4
RI-BOOK books/public-exposure-reply.lisp fns=7 thms=10 reached=5
RI-BOOK books/public-exposure.lisp fns=70 thms=17 reached=69
RI-BOOK books/native-config.lisp fns=82 thms=2 reached=81
RI-BOOK books/owner-config.lisp fns=44 thms=34 reached=33
RI-BOOK books/config-stream.lisp fns=12 thms=9 reached=0
RI-BOOK books/node-config.lisp fns=23 thms=29 reached=19
RI-BOOK books/owner-invariants.lisp fns=9 thms=139 reached=0
RI-BOOK books/owner-fault.lisp fns=2 thms=10 reached=2
RI-BOOK books/owner.lisp fns=162 thms=87 reached=133
RI-BOOK books/control-visible.lisp fns=20 thms=48 reached=14
RI-BOOK books/owner-feed.lisp fns=77 thms=60 reached=60
RI-BOOK books/feed-events.lisp fns=19 thms=0 reached=15
RI-BOOK books/peer-feed-invariants.lisp fns=0 thms=120 reached=0
RI-BOOK books/peer-feed.lisp fns=100 thms=35 reached=83
RI-BOOK books/scheduler.lisp fns=104 thms=64 reached=7
RI-BOOK books/bp-workflow.lisp fns=111 thms=0 reached=107
RI-BOOK books/served.lisp fns=52 thms=100 reached=39
RI-BOOK books/nntp-auth.lisp fns=70 thms=94 reached=62
RI-BOOK books/accounts.lisp fns=16 thms=16 reached=16
RI-BOOK books/native-admin-shape.lisp fns=16 thms=2 reached=16
RI-BOOK books/byte-store-txn-name.lisp fns=13 thms=15 reached=13
RI-BOOK books/byte-store-frame.lisp fns=42 thms=23 reached=37
RI-BOOK books/frame-trailer.lisp fns=1 thms=6 reached=1
RI-BOOK books/byte-store-scan.lisp fns=33 thms=98 reached=4
RI-BOOK books/byte-store-invariants.lisp fns=7 thms=114 reached=0
RI-BOOK books/byte-store.lisp fns=60 thms=11 reached=0
RI-BOOK books/auth-secret.lisp fns=10 thms=16 reached=10
RI-BOOK books/crypto-attach.lisp fns=0 thms=8 reached=0
RI-BOOK books/sha256-stobj.lisp fns=55 thms=9 reached=50
RI-BOOK books/sha256.lisp fns=30 thms=23 reached=30
RI-BOOK books/peer-inbound.lisp fns=62 thms=51 reached=55
RI-BOOK books/path-update.lisp fns=28 thms=6 reached=23
RI-BOOK books/provenance-codec.lisp fns=25 thms=11 reached=23
RI-BOOK books/identity-invariants.lisp fns=0 thms=32 reached=0
RI-BOOK books/frame-invariants.lisp fns=0 thms=66 reached=0
RI-BOOK books/peer-config.lisp fns=30 thms=19 reached=30
RI-BOOK books/path.lisp fns=21 thms=0 reached=21
RI-BOOK books/nntp-pinned-effects.lisp fns=0 thms=16 reached=0
RI-BOOK books/group-bucket-invariants.lisp fns=0 thms=7 reached=0
RI-BOOK books/nntp-verdict-effects.lisp fns=0 thms=5 reached=0
RI-BOOK books/config-records.lisp fns=15 thms=15 reached=6
RI-BOOK books/config-invariants.lisp fns=1 thms=33 reached=0
RI-BOOK books/nntp-post.lisp fns=22 thms=23 reached=20
RI-BOOK books/nntp-effects.lisp fns=11 thms=142 reached=0
RI-BOOK books/nntp-newnews.lisp fns=4 thms=7 reached=0
RI-BOOK books/nntp-legacy.lisp fns=2 thms=19 reached=0
RI-BOOK books/nntp-invariants.lisp fns=4 thms=97 reached=0
RI-BOOK books/group-bucket-cursor-invariants.lisp fns=0 thms=2 reached=0
RI-BOOK books/nntp-index.lisp fns=9 thms=30 reached=0
RI-BOOK books/nntp-overview.lisp fns=6 thms=18 reached=0
RI-BOOK books/nntp.lisp fns=16 thms=3 reached=16
RI-BOOK books/nntp-enrollment.lisp fns=8 thms=7 reached=8
RI-BOOK books/hybrid-lifecycle.lisp fns=10 thms=7 reached=10
RI-BOOK books/control-served.lisp fns=15 thms=38 reached=9
RI-BOOK books/control-authority.lisp fns=43 thms=27 reached=36
RI-BOOK books/nntp-range-indexed.lisp fns=2 thms=1 reached=2
RI-BOOK books/group-bucket-article.lisp fns=3 thms=3 reached=2
RI-BOOK books/group-bucket-index.lisp fns=19 thms=23 reached=14
RI-BOOK books/nntp-index-runtime.lisp fns=16 thms=2 reached=12
RI-BOOK books/index.lisp fns=23 thms=32 reached=13
RI-BOOK books/nntp-verdict.lisp fns=5 thms=2 reached=5
RI-BOOK books/nntp-responses.lisp fns=152 thms=9 reached=130
RI-BOOK books/reclaim-tombstone.lisp fns=13 thms=0 reached=13
RI-BOOK books/nntp-projection.lisp fns=22 thms=22 reached=21
RI-BOOK books/nntp-session.lisp fns=34 thms=1 reached=33
RI-BOOK books/nntp-syntax.lisp fns=45 thms=6 reached=45
RI-BOOK books/wire-invariants.lisp fns=5 thms=53 reached=1
RI-BOOK books/wire.lisp fns=69 thms=50 reached=60
RI-BOOK books/store-observed.lisp fns=16 thms=39 reached=10
RI-BOOK books/store-node-resolution.lisp fns=8 thms=34 reached=7
RI-BOOK books/store-node-traces.lisp fns=2 thms=39 reached=1
RI-BOOK books/store-node-traces-prepare.lisp fns=6 thms=28 reached=1
RI-BOOK books/store-files-traces.lisp fns=11 thms=51 reached=0
RI-BOOK books/store-node-invariants.lisp fns=1 thms=69 reached=0
RI-BOOK books/topic-history-identity-disjoint.lisp fns=0 thms=4 reached=0
